Experiment,Member,lr,gamma,batch_size,epsilon_start,epsilon_end,epsilon_decay,Avg Reward,Best Reward,Worst Reward,Avg Length,Training Time,Noted Behavior
1,Fadhlullah,0.001,0.99,32,1.0,0.05,0.1,10.3,37.0,0.0,163.4,3:23:18.867367,"Near-random performance (-98% from baseline). Very stable and consistent. Higher lr (0.001) caused unstable training, overshot optimal values."
2,Fadhlullah,1e-05,0.99,32,1.0,0.05,0.1,6.4,27.0,0.0,87.4,2:39:27.453160,Near-random performance (-99% from baseline). Very stable and consistent. Lower lr (1e-05) was too slow to learn in 500k steps.
3,Fadhlullah,0.0005,0.99,32,1.0,0.05,0.1,39.0,177.0,0.0,309.7,2:49:22.878505,"Near-random performance (-92% from baseline). Moderately stable. Higher lr (0.0005) caused unstable training, overshot optimal values."
4,Fadhlullah,0.0001,0.9,32,1.0,0.05,0.1,7.4,19.0,0.0,62.5,2:32:34.963759,Near-random performance (-99% from baseline). Very stable and consistent. Lower gamma (0.9) made agent too short-sighted to plan ahead.
5,Fadhlullah,0.0001,0.999,32,1.0,0.05,0.1,8.4,15.0,0.0,98.4,2:43:27.514652,"Near-random performance (-98% from baseline). Very stable and consistent. Higher gamma (0.999) overvalued future rewards, destabilizing updates."
7,Fadhlullah,0.0001,0.99,64,1.0,0.05,0.1,16.8,49.0,1.0,168.4,3:44:31.192516,"Near-random performance (-97% from baseline). Very stable and consistent. Larger batch (64) led to less frequent updates, slower adaptation."
6,Fadhlullah,0.0001,0.8,32,1.0,0.05,0.1,6.5,10.0,2.0,52.8,2:45:08.304932,Near-random performance (-99% from baseline). Very stable and consistent. Lower gamma (0.8) made agent too short-sighted to plan ahead.
8,Fadhlullah,0.0001,0.99,128,1.0,0.05,0.1,9.2,35.0,0.0,81.6,5:34:41.805477,"Near-random performance (-98% from baseline). Very stable and consistent. Larger batch (128) led to less frequent updates, slower adaptation."
9,Fadhlullah,0.0001,0.99,32,1.0,0.1,0.3,14.5,37.0,3.0,124.5,2:38:17.400285,"Near-random performance (-97% from baseline). Very stable and consistent. Longer exploration (decay=0.3) spent too long exploring, not enough exploiting. Higher final epsilon (0.1) kept taking too many random actions."
10,Fadhlullah,0.0001,0.99,32,1.0,0.01,0.5,18.5,70.0,0.0,154.2,3:02:54.935473,"Near-random performance (-96% from baseline). Very stable and consistent. Longer exploration (decay=0.5) spent too long exploring, not enough exploiting. Lower final epsilon (0.01) stopped exploring too early, got stuck."
